00:31.717  render           | Fra: 6 | Mem: 1M | Updating Mesh | Copying Attributes to device
00:31.717  render           | Fra: 6 | Mem: 2M | Updating Mesh | Computing normals
00:31.717  render           | Fra: 6 | Mem: 2M | Updating Mesh | Copying Mesh to device
00:31.717  render           | Fra: 6 | Mem: 2M | Updating Objects Flags
00:31.717  render           | Fra: 6 | Mem: 2M | Updating Primitive Offsets
00:31.717  render           | Fra: 6 | Mem: 2M | Updating Images
00:31.717  render           | Fra: 6 | Mem: 2M | Updating Volume
00:31.717  render           | Fra: 6 | Mem: 2M | Updating Camera Volume
00:31.717  render           | Fra: 6 | Mem: 2M | Updating Lookup Tables
00:31.717  render           | Fra: 6 | Mem: 2M | Updating Lights
00:31.717  render           | Fra: 6 | Mem: 2M | Updating Lights | Computing tree
00:31.717  render           | Fra: 6 | Mem: 2M | Updating Integrator
00:31.717  render           | Fra: 6 | Mem: 2M | Updating Film
00:31.717  render           | Fra: 6 | Mem: 2M | Updating Lookup Tables
00:31.717  render           | Fra: 6 | Mem: 2M | Updating Baking
00:31.717  render           | Fra: 6 | Mem: 2M | Updating Device | Writing constant memory
00:31.717  render           | Fra: 6 | Mem: 2M | Loading denoising kernels (may take a few minutes the first time)
00:31.717  render           | Fra: 6 | Mem: 2M | Sample 0/12
00:31.955  render           | Fra: 6 | Remaining: 00:02.62 | Mem: 26M | Sample 1/12
00:38.234  render           | Fra: 6 | Mem: 26M | Sample 12/12
00:38.234  render           | Fra: 6 | Mem: 26M | Finished
00:38.334  render           | Saved: '/home/ricardo/cvg-his-v4/docs/frontend/assets/video/frames/pulse-0006.png'
00:38.334  render           | Time: 00:06.63 (Saving: 00:00.06)
00:38.334  render           | Rendering frame 7
00:38.334  render           | Start rendering: Scene, ViewLayer
00:38.334  render           | Engine: Cycles
00:38.338  render           | Fra: 7 | Mem: 0M | Synchronizing object | Cyan
00:38.338  render           | Fra: 7 | Mem: 0M | Synchronizing object | Key
00:38.338  render           | Fra: 7 | Mem: 0M | Synchronizing object | Orbita principal
00:38.338  render           | Fra: 7 | Mem: 0M | Synchronizing object | Plane
00:38.338  render           | Fra: 7 | Mem: 0M | Synchronizing object | Detalhe champagne
00:38.338  render           | Fra: 7 | Mem: 0M | Synchronizing object | Arco mineral
00:38.338  render           | Fra: 7 | Mem: 0M | Initializing
00:38.339  render           | Fra: 7 | Mem: 0M | Waiting for render to start
00:38.339  render           | Fra: 7 | Mem: 0M | Updating Scene
00:38.339  render           | Fra: 7 | Mem: 0M | Updating Shaders
00:38.339  render           | Fra: 7 | Mem: 0M | Loading render kernels (may take a few minutes the first time)
00:38.339  render           | Fra: 7 | Mem: 1M | Updating Procedurals
00:38.339  render           | Fra: 7 | Mem: 1M | Updating Background
00:38.339  render           | Fra: 7 | Mem: 1M | Updating Scene Attribute
00:38.339  render           | Fra: 7 | Mem: 1M | Updating Camera
00:38.340  render           | Fra: 7 | Mem: 1M | Updating Meshes Flags
00:38.340  render           | Fra: 7 | Mem: 1M | Updating Objects
00:38.340  render           | Fra: 7 | Mem: 1M | Updating Objects | Copying Transformations to device
00:38.340  render           | Fra: 7 | Mem: 1M | Updating Particle Systems
00:38.340  render           | Fra: 7 | Mem: 1M | Updating Particle Systems | Copying Particles to device
00:38.340  render           | Fra: 7 | Mem: 1M | Updating Meshes
00:38.340  render           | Fra: 7 | Mem: 1M | Updating Objects | Applying Static Transformations
00:38.340  render           | Fra: 7 | Mem: 1M | Updating Scene BVH | Building
00:38.340  render           | Fra: 7 | Mem: 1M | Updating Scene BVH | Building BVH
00:38.340  render           | Fra: 7 | Mem: 1M | Updating Scene BVH | Building BVH 0%
00:38.347  render           | Fra: 7 | Mem: 1M | Updating Scene BVH | Copying BVH to device
00:38.348  render           | Fra: 7 | Mem: 1M | Updating Mesh | Computing attributes
00:38.348  render           | Fra: 7 | Mem: 1M | Updating Mesh | Copying Attributes to device
00:38.348  render           | Fra: 7 | Mem: 2M | Updating Mesh | Computing normals
00:38.348  render           | Fra: 7 | Mem: 2M | Updating Mesh | Copying Mesh to device
00:38.348  render           | Fra: 7 | Mem: 2M | Updating Objects Flags
00:38.348  render           | Fra: 7 | Mem: 2M | Updating Primitive Offsets
00:38.348  render           | Fra: 7 | Mem: 2M | Updating Images
00:38.348  render           | Fra: 7 | Mem: 2M | Updating Volume
00:38.348  render           | Fra: 7 | Mem: 2M | Updating Camera Volume
00:38.348  render           | Fra: 7 | Mem: 2M | Updating Lookup Tables
00:38.348  render           | Fra: 7 | Mem: 2M | Updating Lights
00:38.348  render           | Fra: 7 | Mem: 2M | Updating Lights | Computing tree
00:38.348  render           | Fra: 7 | Mem: 2M | Updating Integrator
00:38.348  render           | Fra: 7 | Mem: 2M | Updating Film
00:38.348  render           | Fra: 7 | Mem: 2M | Updating Lookup Tables
00:38.348  render           | Fra: 7 | Mem: 2M | Updating Baking
00:38.348  render           | Fra: 7 | Mem: 2M | Updating Device | Writing constant memory
00:38.348  render           | Fra: 7 | Mem: 2M | Loading denoising kernels (may take a few minutes the first time)
00:38.348  render           | Fra: 7 | Mem: 2M | Sample 0/12
00:38.856  render           | Fra: 7 | Remaining: 00:05.58 | Mem: 26M | Sample 1/12
00:43.950  render           | Fra: 7 | Mem: 26M | Sample 12/12
00:43.950  render           | Fra: 7 | Mem: 26M | Finished
00:44.061  render           | Saved: '/home/ricardo/cvg-his-v4/docs/frontend/assets/video/frames/pulse-0007.png'
00:44.061  render           | Time: 00:05.72 (Saving: 00:00.05)
00:44.061  render           | Rendering frame 8
00:44.061  render           | Start rendering: Scene, ViewLayer
00:44.061  render           | Engine: Cycles
00:44.065  render           | Fra: 8 | Mem: 0M | Synchronizing object | Cyan
00:44.065  render           | Fra: 8 | Mem: 0M | Synchronizing object | Key
00:44.065  render           | Fra: 8 | Mem: 0M | Synchronizing object | Plane
00:44.065  render           | Fra: 8 | Mem: 0M | Synchronizing object | Detalhe champagne
00:44.065  render           | Fra: 8 | Mem: 0M | Synchronizing object | Arco mineral
00:44.066  render           | Fra: 8 | Mem: 0M | Synchronizing object | Orbita principal
00:44.066  render           | Fra: 8 | Mem: 0M | Initializing
00:44.067  render           | Fra: 8 | Mem: 0M | Waiting for render to start
00:44.067  render           | Fra: 8 | Mem: 0M | Updating Scene
00:44.067  render           | Fra: 8 | Mem: 0M | Updating Shaders
00:44.067  render           | Fra: 8 | Mem: 0M | Loading render kernels (may take a few minutes the first time)
00:44.067  render           | Fra: 8 | Mem: 1M | Updating Procedurals
